 Close valve HP_IN
 Close valve HP_OUT
 Close valve L1_OUT
 Close valve L2_OUT
 Close valve L3_OUT
 Close valve L_HP
 Close valve LR1
 Close valve LR2
 Close valve LR3
 Close valve LR4
 Close valve LRW2
 Close valve LWASTE
 Close valve R1_4
 Close valve V21
 Close valve V24
 Close valve V4
 Close valve VH
 Close valve W1
 Close valve W2
 Close valve W3
 Open valve HP_IN
 Open valve W2
 Open valve R1_4
 Open valve V21
[19:45:28]: Forward liquid flow activated
[19:45:28]: AIR
 Open valve HP_OUT
 Open valve L_HP
 Open valve V24
 Close valve V24
 Close valve L_HP
 Close valve HP_OUT
[19:46:08]: W2 OH-
 Open valve LRW2
[19:47:23]: 9502
[19:47:23]: 9922
[19:47:24]: 10051
[19:47:24]: 10126
[19:47:24]: 9739
[19:47:25]: 9380
[19:47:25]: 10285
[19:47:25]: 10063
[19:47:26]: 9541
[19:47:26]: 9731
[19:47:26]: 9335
[19:47:27]: 9618
[19:47:27]: 9763
[19:47:27]: 9416
[19:47:28]: 10098
[19:47:28]: 10132
[19:47:28]: 10168
[19:47:29]: 10202
[19:47:29]: 9472
[19:47:29]: 9742
[19:47:29]: 9850
[19:47:30]: 9939
[19:47:30]: 10009
[19:47:30]: 10067
[19:47:31]: 9934
[19:47:31]: 10009
[19:47:31]: 10070
[19:47:32]: 9394
[19:47:32]: 9402
[19:47:32]: 9776
[19:47:33]: 9852
[19:47:33]: 9899
[19:47:33]: 9944
[19:47:34]: 9989
[19:47:34]: 10030
[19:47:34]: 10069
[19:47:35]: 10097
[19:47:35]: 10129
[19:47:35]: 10159
[19:47:36]: 10188
[19:47:36]: 10212
[19:47:36]: 10230
[19:47:37]: 10254
[19:47:37]: 10263
[19:47:37]: 10275
[19:47:38]: 10278
[19:47:38]: 10281
[19:47:38]: 10284
[19:47:39]: 10281
[19:47:39]: 10282
[19:47:39]: 10284
[19:47:40]: 10284
[19:47:40]: 10286
[19:47:40]: 10054
[19:47:41]: 10084
[19:47:41]: 10209
[19:47:41]: 10361
[19:47:42]: 10388
[19:47:42]: 10398
[19:47:42]: 10397
[19:47:43]: 10389
[19:47:43]: 10387
[19:47:43]: 10392
[19:47:44]: 10391
[19:47:44]: 10385
[19:47:44]: 10390
[19:47:45]: 10389
 Close valve LRW2
[19:47:46]: CIRCLE H+
 Open valve LR1
[19:47:46]: 10385
[19:47:46]: 9371
[19:47:47]: 9425
[19:47:47]: 9370
[19:47:47]: 9402
[19:47:48]: 9403
[19:47:48]: 9405
[19:47:48]: 9405
[19:47:49]: 9404
[19:47:49]: 9402
[19:47:49]: 9401
[19:47:50]: 9400
[19:47:50]: 9398
[19:47:50]: 9397
[19:47:51]: 9396
[19:47:51]: 9397
[19:47:51]: 9396
[19:47:52]: 9395
[19:47:52]: 9395
[19:47:52]: 9394
[19:47:53]: 9394
[19:47:53]: 9395
[19:47:53]: 9394
[19:47:54]: 9394
[19:47:54]: 9392
[19:47:54]: 9393
[19:47:55]: 9393
[19:47:55]: 9392
[19:47:55]: 9393
[19:47:56]: 9392
[19:47:56]: 9391
[19:47:56]: 9391
[19:47:56]: 9391
[19:47:57]: 9391
[19:47:57]: 9390
[19:47:57]: 9391
[19:47:58]: 9390
[19:47:58]: 9391
[19:47:58]: 9391
[19:47:59]: 9389
[19:47:59]: 9389
[19:47:59]: 9389
[19:48:00]: 9389
[19:48:00]: 9390
[19:48:00]: 9390
[19:48:01]: 9389
[19:48:01]: 9389
[19:48:01]: 9389
[19:48:02]: 9388
[19:48:02]: 9388
[19:48:02]: 9389
[19:48:03]: 9389
[19:48:03]: 9387
[19:48:03]: 9387
[19:48:03]: 9388
[19:48:04]: 9388
[19:48:04]: 9387
[19:48:04]: 9387
[19:48:05]: 9387
[19:48:05]: 9387
[19:48:05]: 9387
[19:48:06]: 9387
[19:48:06]: 9387
[19:48:06]: 9387
[19:48:07]: 9386
[19:48:07]: 9386
[19:48:07]: 9386
[19:48:08]: 9386
[19:48:08]: 9387
[19:48:08]: 9386
[19:48:09]: 9386
[19:48:09]: 9387
[19:48:09]: 9387
[19:48:10]: 9386
[19:48:10]: 9386
[19:48:10]: 9385
[19:48:11]: 9385
[19:48:11]: 9386
[19:48:11]: 9386
[19:48:11]: 9386
[19:48:12]: 9385
[19:48:12]: 9386
[19:48:12]: 9386
[19:48:13]: 9385
[19:48:13]: 9385
[19:48:13]: 9384
[19:48:14]: 9384
[19:48:14]: 9385
[19:48:14]: 9385
[19:48:15]: 9384
[19:48:15]: 9385
[19:48:15]: 9385
[19:48:16]: 9385
[19:48:16]: 9385
[19:48:16]: 9385
[19:48:17]: 9385
[19:48:17]: 9383
[19:48:17]: 9384
[19:48:18]: 9383
[19:48:18]: 9384
[19:48:18]: 9383
[19:48:19]: 9383
[19:48:19]: 9383
[19:48:19]: 9383
[19:48:19]: 9383
[19:48:20]: 9384
[19:48:20]: 9383
[19:48:20]: 9383
[19:48:21]: 9383
[19:48:21]: 9384
[19:48:21]: 9383
[19:48:22]: 9382
[19:48:22]: 9384
[19:48:22]: 9384
[19:48:23]: 9383
[19:48:23]: 9383
[19:48:23]: 9383
[19:48:24]: 9383
[19:48:24]: 9382
[19:48:24]: 9382
[19:48:25]: 9382
[19:48:25]: 9383
[19:48:25]: 9382
[19:48:25]: 9383
[19:48:26]: 9383
[19:48:26]: 9383
[19:48:26]: 9383
[19:48:27]: 9381
[19:48:27]: 9382
[19:48:27]: 9382
[19:48:28]: 9382
[19:48:28]: 9382
[19:48:28]: 9383
[19:48:29]: 9381
[19:48:29]: 9381
[19:48:29]: 9381
[19:48:30]: 9382
[19:48:30]: 9381
[19:48:30]: 9381
[19:48:30]: 9382
[19:48:31]: 9381
[19:48:31]: 9381
[19:48:31]: 9381
[19:48:32]: 9382
[19:48:32]: 9382
[19:48:32]: 9381
[19:48:33]: 9381
[19:48:33]: 9381
[19:48:33]: 9381
[19:48:34]: 9382
 Close valve LR1
[19:48:35]: CROSS H+
 Open valve LR2
[19:48:35]: 9379
[19:48:35]: 9369
[19:48:36]: 9488
[19:48:36]: 9127
[19:48:36]: 9366
[19:48:37]: 9371
[19:48:37]: 9526
[19:48:37]: 9788
[19:48:38]: 9925
[19:48:38]: 10011
[19:48:38]: 10072
[19:48:39]: 10119
[19:48:39]: 9402
[19:48:39]: 9502
[19:48:40]: 9577
[19:48:40]: 9640
[19:48:40]: 9701
[19:48:41]: 9747
[19:48:41]: 9796
[19:48:41]: 9832
[19:48:42]: 9377
[19:48:42]: 9381
[19:48:42]: 9382
[19:48:43]: 9383
[19:48:43]: 9384
[19:48:43]: 9383
[19:48:44]: 9384
[19:48:44]: 9383
[19:48:44]: 9384
[19:48:45]: 9383
[19:48:45]: 9384
[19:48:45]: 9383
[19:48:46]: 9382
[19:48:46]: 9382
[19:48:46]: 9385
[19:48:46]: 9385
[19:48:47]: 9381
[19:48:47]: 9383
[19:48:47]: 9380
[19:48:48]: 9381
[19:48:48]: 9379
[19:48:48]: 9380
[19:48:49]: 9380
[19:48:49]: 9377
[19:48:49]: 9377
[19:48:50]: 9376
[19:48:50]: 9376
[19:48:50]: 9378
[19:48:51]: 9377
[19:48:51]: 9376
[19:48:51]: 9376
[19:48:52]: 9373
[19:48:52]: 9364
[19:48:52]: 9357
[19:48:53]: 9353
[19:48:53]: 9351
[19:48:53]: 9348
[19:48:53]: 9345
[19:48:54]: 9344
[19:48:54]: 9342
[19:48:54]: 9340
[19:48:55]: 9340
[19:48:55]: 9339
[19:48:55]: 9337
[19:48:56]: 9338
[19:48:56]: 9337
[19:48:56]: 9336
[19:48:57]: 9336
[19:48:57]: 9336
[19:48:57]: 9336
[19:48:58]: 9333
[19:48:58]: 9334
[19:48:58]: 9334
[19:48:59]: 9332
[19:48:59]: 9332
[19:48:59]: 9333
[19:49:00]: 9331
[19:49:00]: 9331
[19:49:00]: 9332
[19:49:00]: 9331
[19:49:01]: 9331
[19:49:01]: 9331
[19:49:01]: 9330
[19:49:02]: 9330
[19:49:02]: 9329
[19:49:02]: 9328
[19:49:03]: 9328
[19:49:03]: 9330
[19:49:03]: 9329
[19:49:04]: 9330
[19:49:04]: 9330
[19:49:04]: 9330
[19:49:05]: 9329
[19:49:05]: 9328
[19:49:05]: 9329
[19:49:06]: 9329
[19:49:06]: 9327
[19:49:06]: 9327
[19:49:06]: 9327
[19:49:07]: 9328
[19:49:07]: 9329
