 Close valve HP_IN
 Close valve HP_OUT
 Close valve L1_OUT
 Close valve L2_OUT
 Close valve L3_OUT
 Close valve L_HP
 Close valve LR1
 Close valve LR2
 Close valve LR3
 Close valve LR4
 Close valve LRW2
 Close valve LWASTE
 Close valve R1_4
 Close valve V21
 Close valve V24
 Close valve V4
 Close valve VH
 Close valve W1
 Close valve W2
 Close valve W3
 Open valve HP_IN
 Open valve W2
 Open valve R1_4
 Open valve V21
[19:59:27]: Forward liquid flow activated
[19:59:27]: AIR
 Open valve HP_OUT
 Open valve L_HP
 Open valve V24
 Close valve V24
 Close valve L_HP
 Close valve HP_OUT
[20:00:08]: W2 OH-
 Open valve LRW2
[20:01:23]: 8647
[20:01:23]: 8654
[20:01:23]: 8647
[20:01:24]: 8645
[20:01:24]: 8658
[20:01:24]: 8653
[20:01:25]: 8651
[20:01:25]: 8657
[20:01:25]: 8648
[20:01:26]: 8659
[20:01:26]: 8653
[20:01:26]: 8647
[20:01:27]: 8658
[20:01:27]: 8648
[20:01:27]: 8654
[20:01:28]: 8659
[20:01:28]: 8657
[20:01:28]: 8649
[20:01:29]: 8654
[20:01:29]: 8660
[20:01:29]: 8645
[20:01:29]: 8648
[20:01:30]: 8654
[20:01:30]: 8655
[20:01:30]: 8648
[20:01:31]: 8645
[20:01:31]: 8660
[20:01:31]: 8656
[20:01:32]: 8651
[20:01:32]: 8657
[20:01:32]: 8647
[20:01:33]: 8647
[20:01:33]: 8659
[20:01:33]: 8649
[20:01:34]: 8654
[20:01:34]: 8660
[20:01:34]: 8646
[20:01:35]: 8648
[20:01:35]: 8652
[20:01:35]: 8653
[20:01:36]: 8658
[20:01:36]: 8660
[20:01:36]: 8646
[20:01:36]: 8653
[20:01:37]: 8658
[20:01:37]: 8647
[20:01:37]: 8654
[20:01:38]: 8653
[20:01:38]: 8659
[20:01:38]: 8660
[20:01:39]: 8655
[20:01:39]: 8649
[20:01:39]: 8646
[20:01:40]: 8646
[20:01:40]: 8660
[20:01:40]: 8656
[20:01:41]: 8651
[20:01:41]: 8657
[20:01:41]: 8660
[20:01:42]: 8647
[20:01:42]: 8652
[20:01:42]: 8652
[20:01:43]: 8654
[20:01:43]: 8660
[20:01:43]: 8646
[20:01:43]: 8648
[20:01:44]: 8653
 Close valve LRW2
[20:01:45]: CIRCLE H+
 Open valve LR1
[20:01:45]: 8760
[20:01:46]: 9339
[20:01:46]: 9339
[20:01:46]: 9337
[20:01:47]: 9337
[20:01:47]: 9339
[20:01:47]: 9344
[20:01:47]: 9348
[20:01:48]: 9348
[20:01:48]: 9343
[20:01:48]: 9344
[20:01:49]: 9342
[20:01:49]: 9341
[20:01:50]: 9348
[20:01:50]: 9343
[20:01:50]: 9338
[20:01:50]: 9336
[20:01:51]: 9336
[20:01:51]: 9344
[20:01:51]: 9339
[20:01:52]: 9337
[20:01:52]: 9347
[20:01:52]: 9344
[20:01:53]: 9348
[20:01:53]: 9338
[20:01:53]: 9336
[20:01:54]: 9338
[20:01:54]: 9342
[20:01:54]: 9336
[20:01:55]: 9334
[20:01:55]: 9342
[20:01:55]: 9343
[20:01:56]: 9337
[20:01:56]: 9343
[20:01:56]: 9334
[20:01:56]: 9334
[20:01:57]: 9338
[20:01:57]: 9338
[20:01:58]: 9339
[20:01:58]: 9334
[20:01:58]: 9333
[20:01:59]: 9343
[20:01:59]: 9341
[20:01:59]: 9344
[20:01:59]: 9331
[20:02:00]: 9334
[20:02:00]: 9339
[20:02:00]: 9342
[20:02:01]: 9339
[20:02:01]: 9333
[20:02:01]: 9329
[20:02:02]: 9330
[20:02:02]: 9331
[20:02:02]: 9335
[20:02:03]: 9340
[20:02:03]: 9328
[20:02:03]: 9328
[20:02:04]: 9333
[20:02:04]: 9334
[20:02:04]: 9329
[20:02:05]: 9339
[20:02:05]: 9328
[20:02:05]: 9330
[20:02:06]: 9335
[20:02:06]: 9327
[20:02:06]: 9329
[20:02:07]: 9334
[20:02:07]: 9329
[20:02:07]: 9328
[20:02:08]: 9327
[20:02:08]: 9329
[20:02:08]: 9334
[20:02:09]: 9328
[20:02:09]: 9325
[20:02:09]: 9328
[20:02:09]: 9332
[20:02:10]: 9326
[20:02:10]: 9339
[20:02:10]: 9338
[20:02:11]: 9334
[20:02:11]: 9333
[20:02:11]: 9335
[20:02:12]: 9335
[20:02:12]: 9334
[20:02:12]: 9333
[20:02:13]: 9335
[20:02:13]: 9333
[20:02:13]: 9333
[20:02:14]: 9334
[20:02:14]: 9334
[20:02:14]: 9333
[20:02:15]: 9334
[20:02:15]: 9332
[20:02:15]: 9334
[20:02:15]: 9332
[20:02:16]: 9332
[20:02:16]: 9333
[20:02:16]: 9332
[20:02:17]: 9333
[20:02:17]: 9333
[20:02:17]: 9330
[20:02:18]: 9331
[20:02:18]: 9332
[20:02:18]: 9332
[20:02:19]: 9331
[20:02:19]: 9331
[20:02:19]: 9330
[20:02:20]: 9331
[20:02:20]: 9331
[20:02:20]: 9331
[20:02:20]: 9329
[20:02:21]: 9329
[20:02:21]: 9330
[20:02:21]: 9330
[20:02:22]: 9330
[20:02:22]: 9330
[20:02:22]: 9328
[20:02:23]: 9328
[20:02:23]: 9328
[20:02:23]: 9329
[20:02:24]: 9328
[20:02:24]: 9328
[20:02:24]: 9328
[20:02:25]: 9329
[20:02:25]: 9328
[20:02:25]: 9329
[20:02:26]: 9326
[20:02:26]: 9328
[20:02:26]: 9327
[20:02:27]: 9326
[20:02:27]: 9326
[20:02:27]: 9326
[20:02:28]: 9327
[20:02:28]: 9326
[20:02:28]: 9327
[20:02:29]: 9327
[20:02:29]: 9327
[20:02:29]: 9327
[20:02:30]: 9326
[20:02:30]: 9326
[20:02:30]: 9325
[20:02:30]: 9326
[20:02:31]: 9327
[20:02:31]: 9326
[20:02:31]: 9325
[20:02:32]: 9325
[20:02:32]: 9325
[20:02:32]: 9324
[20:02:33]: 9325
[20:02:33]: 9325
 Close valve LR1
[20:02:34]: W2 OH-
 Open valve LRW2
[20:02:34]: 9324
[20:02:35]: 8669
[20:02:35]: 8629
[20:02:35]: 8637
[20:02:36]: 8642
[20:02:36]: 8639
[20:02:36]: 8628
[20:02:37]: 8626
[20:02:37]: 8628
[20:02:37]: 8646
[20:02:38]: 8639
[20:02:38]: 8651
[20:02:38]: 8655
[20:02:39]: 8632
[20:02:39]: 8640
[20:02:39]: 8641
[20:02:39]: 8646
[20:02:40]: 8656
[20:02:40]: 8654
[20:02:40]: 8651
[20:02:41]: 8636
[20:02:41]: 8646
[20:02:41]: 8637
[20:02:42]: 8632
[20:02:42]: 8657
[20:02:42]: 8650
[20:02:43]: 8639
[20:02:43]: 8650
[20:02:43]: 8636
[20:02:44]: 8654
[20:02:44]: 8655
[20:02:44]: 8651
[20:02:45]: 8657
[20:02:45]: 8652
[20:02:45]: 8642
[20:02:46]: 8641
[20:02:46]: 8650
[20:02:46]: 8638
[20:02:47]: 8635
[20:02:47]: 8657
[20:02:47]: 8649
[20:02:47]: 8640
[20:02:48]: 8636
[20:02:48]: 8641
[20:02:48]: 8650
[20:02:49]: 8640
[20:02:49]: 8636
[20:02:49]: 8639
[20:02:50]: 8648
[20:02:50]: 8638
[20:02:50]: 8637
[20:02:51]: 8657
[20:02:51]: 8649
[20:02:51]: 8646
[20:02:52]: 8655
[20:02:52]: 8639
[20:02:52]: 8640
[20:02:53]: 8654
[20:02:53]: 8645
[20:02:53]: 8658
[20:02:54]: 8640
[20:02:54]: 8646
[20:02:54]: 8654
[20:02:55]: 8647
[20:02:55]: 8659
[20:02:55]: 8649
[20:02:56]: 8657
[20:02:56]: 8657
[20:02:56]: 8650
[20:02:57]: 8649
[20:02:57]: 8657
[20:02:57]: 8641
[20:02:58]: 8642
[20:02:58]: 8648
[20:02:58]: 8656
[20:02:59]: 8645
[20:02:59]: 8652
[20:02:59]: 8659
[20:02:59]: 8641
[20:03:00]: 8643
[20:03:00]: 8649
[20:03:00]: 8649
[20:03:01]: 8644
[20:03:01]: 8646
[20:03:01]: 8657
[20:03:02]: 8648
[20:03:02]: 8643
[20:03:02]: 8644
[20:03:03]: 8649
[20:03:03]: 8644
[20:03:03]: 8647
[20:03:04]: 8653
[20:03:04]: 8660
[20:03:04]: 8661
[20:03:05]: 8646
[20:03:05]: 8652
[20:03:05]: 8659
[20:03:05]: 8645
[20:03:06]: 8646
[20:03:06]: 8652
[20:03:06]: 8651
[20:03:07]: 8655
[20:03:07]: 8662
[20:03:07]: 8661
[20:03:08]: 8651
[20:03:08]: 8658
[20:03:08]: 8647
[20:03:09]: 8645
[20:03:09]: 8662
[20:03:09]: 8646
[20:03:10]: 8647
[20:03:10]: 8660
[20:03:10]: 8653
[20:03:11]: 8656
[20:03:11]: 8650
[20:03:11]: 8646
[20:03:12]: 8663
[20:03:12]: 8660
[20:03:12]: 8652
[20:03:13]: 8651
[20:03:13]: 8656
[20:03:13]: 8649
[20:03:14]: 8661
[20:03:14]: 8664
[20:03:14]: 8659
[20:03:14]: 8652
[20:03:15]: 8655
[20:03:15]: 8655
[20:03:15]: 8662
[20:03:16]: 8648
[20:03:16]: 8656
[20:03:16]: 8655
[20:03:17]: 8653
[20:03:17]: 8648
[20:03:17]: 8657
[20:03:18]: 8663
[20:03:18]: 8662
[20:03:18]: 8655
[20:03:19]: 8649
[20:03:19]: 8648
[20:03:19]: 8652
[20:03:20]: 8657
[20:03:20]: 8651
[20:03:20]: 8661
[20:03:20]: 8663
[20:03:21]: 8650
[20:03:21]: 8662
[20:03:21]: 8655
[20:03:22]: 8665
[20:03:22]: 8650
 Close valve LRW2
[20:03:23]: CROSS H+
 Open valve LR2
[20:03:24]: 9335
[20:03:24]: 9350
[20:03:24]: 9357
[20:03:25]: 9158
[20:03:25]: 9365
[20:03:25]: 9368
[20:03:25]: 9369
[20:03:26]: 9371
[20:03:26]: 9368
[20:03:26]: 9369
[20:03:27]: 9370
[20:03:27]: 9368
[20:03:28]: 9369
[20:03:28]: 9369
[20:03:28]: 9370
[20:03:28]: 9368
[20:03:29]: 9368
[20:03:29]: 9371
[20:03:29]: 9371
[20:03:30]: 9372
[20:03:30]: 9373
[20:03:30]: 9378
[20:03:31]: 9420
[20:03:31]: 9427
[20:03:31]: 9427
[20:03:32]: 9425
[20:03:32]: 9425
[20:03:32]: 9425
[20:03:33]: 9424
[20:03:33]: 9423
[20:03:33]: 9424
[20:03:34]: 9424
[20:03:34]: 9423
[20:03:34]: 9422
[20:03:35]: 9422
[20:03:35]: 9421
[20:03:35]: 9421
[20:03:35]: 9421
[20:03:36]: 9421
[20:03:36]: 9421
[20:03:36]: 9420
[20:03:37]: 9419
[20:03:37]: 9419
[20:03:37]: 9418
